centroid_x,centroid_y,img_lb
524.0,470.0,3.0
193.0,460.0,3.0
388.0,453.0,3.0
459.0,413.0,3.0
721.0,274.0,3.0
299.0,251.0,3.0
819.0,234.0,3.0
376.0,199.0,3.0
499.0,124.0,3.0
318.0,89.0,3.0
413.0,63.0,3.0
221.0,643.0,3.0
51.0,217.0,3.0
407.0,664.0,3.0
122.0,635.0,3.0
606.0,606.0,3.0
591.0,538.0,3.0
88.0,195.0,3.0
344.0,384.0,3.0
337.0,370.0,3.0
45.0,581.0,3.0
344.0,199.0,3.0
919.0,615.0,4.0
922.0,597.0,4.0
719.0,585.0,4.0
686.0,484.0,4.0
172.0,366.0,4.0
155.0,353.0,4.0
525.0,351.0,4.0
64.0,327.0,4.0
674.0,323.0,4.0
921.0,292.0,4.0
82.0,268.0,4.0
926.0,162.0,4.0
599.0,78.0,4.0
716.0,529.0,4.0
411.0,319.0,4.0
95.0,174.0,4.0
95.0,110.0,4.0
915.0,532.0,4.0
605.0,368.0,4.0
525.0,351.0,4.0
525.0,334.0,4.0
253.0,329.0,4.0
533.0,261.0,4.0
189.0,131.0,4.0
25.0,8.0,4.0
721.0,466.0,4.0
724.0,455.0,4.0
284.0,659.0,4.0
910.0,561.0,4.0
659.0,392.0,4.0
467.0,388.0,4.0
126.0,301.0,4.0
145.0,700.0,5.0
681.0,620.0,5.0
279.0,609.0,5.0
539.0,584.0,5.0
577.0,568.0,5.0
702.0,432.0,5.0
51.0,388.0,5.0
68.0,388.0,5.0
227.0,329.0,5.0
396.0,315.0,5.0
11.0,282.0,5.0
39.0,274.0,5.0
663.0,253.0,5.0
109.0,222.0,5.0
414.0,165.0,5.0
495.0,158.0,5.0
90.0,542.0,5.0
923.0,358.0,5.0
663.0,253.0,5.0
338.0,221.0,5.0
449.0,30.0,5.0
333.0,646.0,5.0
260.0,331.0,5.0
372.0,191.0,5.0
783.0,113.0,5.0
807.0,93.0,5.0
481.0,69.0,5.0
714.0,297.0,5.0
703.0,287.0,5.0
430.0,540.0,5.0
547.0,449.0,5.0
312.0,430.0,5.0
35.0,706.0,6.0
256.0,683.0,6.0
531.0,616.0,6.0
829.0,555.0,6.0
137.0,462.0,6.0
441.0,432.0,6.0
176.0,376.0,6.0
507.0,357.0,6.0
121.0,329.0,6.0
338.0,317.0,6.0
572.0,295.0,6.0
427.0,261.0,6.0
573.0,199.0,6.0
814.0,181.0,6.0
806.0,151.0,6.0
550.0,151.0,6.0
268.0,126.0,6.0
154.0,99.0,6.0
487.0,97.0,6.0
134.0,92.0,6.0
386.0,65.0,6.0
671.0,65.0,6.0
138.0,60.0,6.0
380.0,23.0,6.0
422.0,14.0,6.0
811.0,53.0,6.0
336.0,578.0,6.0
297.0,529.0,6.0
908.0,383.0,6.0
296.0,361.0,6.0
179.0,144.0,6.0
149.0,28.0,6.0
885.0,661.0,6.0
894.0,655.0,6.0
170.0,193.0,6.0
179.0,185.0,6.0
511.0,595.0,6.0
821.0,457.0,6.0
687.0,329.0,6.0
300.0,312.0,6.0
817.0,602.0,7.0
302.0,540.0,7.0
165.0,444.0,7.0
192.0,435.0,7.0
277.0,386.0,7.0
678.0,309.0,7.0
94.0,281.0,7.0
136.0,273.0,7.0
903.0,219.0,7.0
282.0,214.0,7.0
288.0,182.0,7.0
876.0,78.0,7.0
20.0,39.0,7.0
525.0,18.0,7.0
685.0,536.0,7.0
881.0,483.0,7.0
772.0,369.0,7.0
886.0,277.0,7.0
626.0,196.0,7.0
317.0,185.0,7.0
809.0,85.0,7.0
219.0,46.0,7.0
52.0,46.0,7.0
58.0,37.0,7.0
292.0,650.0,7.0
123.0,405.0,7.0
848.0,387.0,7.0
515.0,309.0,7.0
108.0,230.0,7.0
739.0,81.0,7.0
583.0,683.0,8.0
245.0,659.0,8.0
468.0,632.0,8.0
60.0,533.0,8.0
919.0,481.0,8.0
94.0,414.0,8.0
738.0,382.0,8.0
443.0,350.0,8.0
34.0,324.0,8.0
182.0,144.0,8.0
445.0,42.0,8.0
263.0,8.0,8.0
98.0,149.0,8.0
104.0,497.0,8.0
260.0,295.0,8.0
640.0,288.0,8.0
361.0,91.0,8.0
413.0,52.0,8.0
172.0,391.0,8.0
122.0,310.0,8.0
575.0,221.0,8.0
381.0,686.0,9.0
410.0,643.0,9.0
129.0,643.0,9.0
762.0,600.0,9.0
873.0,574.0,9.0
32.0,544.0,9.0
245.0,505.0,9.0
948.0,427.0,9.0
681.0,407.0,9.0
518.0,361.0,9.0
598.0,285.0,9.0
615.0,145.0,9.0
717.0,140.0,9.0
729.0,129.0,9.0
924.0,281.0,9.0
709.0,688.0,9.0
717.0,464.0,9.0
152.0,352.0,9.0
111.0,153.0,9.0
524.0,638.0,9.0
537.0,634.0,9.0
289.0,665.0,9.0
669.0,629.0,9.0
723.0,493.0,9.0
67.0,299.0,9.0
189.0,147.0,9.0
949.0,54.0,9.0
